category,subcategory,date,feedback,score,user_role,license_sku,server_version
Feature Requests,Threading,2020-06-07,"Conversation threads, they are reallly improvable; channels organized in custom sections; but overall I really enjoy Mattermost, it's fantastic, thanks!",9,team_admin,E0,5.23.0
Feature Requests,Emoji/GIF Options,2020-06-07,more emojis,8,user,TE,5.22.0
UX Feedback,System Administration,2020-06-07,ability to disable channels,8,system_admin,E10,5.22.0
Feature Requests,RN Multi-server,2020-06-07,"We need multiple servers in the Android / iOS apps and better sub-threads (currently the messages show up in the thread AND the main thread, which makes people post at two locations)",10,system_admin,E0,5.23.0
UX Feedback,Translations,2020-06-07,Slack cannot be used by its ToS in schools in Japan. Japanese Translation would be good option for approaching Japanese market. :),10,user,TE,5.23.0
Invalid,Invalid,2020-06-07,yes,10,user,TE,5.23.0
Feature Requests,RN Multi-server,2020-06-07,"- Use an iframe for viewing PDF files instead of rendering the first few pages as a series of images. This should allow users to read an entire pdf document without having to download it
- Display the name of the team or system admin who edited a message of a member user
- Add 'Mark as read' to the channel right click context menu
- Restrict public channel creation to team admins and system admins in the community edition
- Make it possible to delete the default custom emojis ( :bowtie:, :feelsgood:, :finnadie:, :goberserk:, :godmode:, :hurtrealbad:, :neckbeard:, :octocat:, :rage1:, :rage2:, :rage3:, :rage4:, :shipit:, :suspect: and :trollface: ), they all look terrible and I'd really appreciate for it to be possible for the system admin to just delete them.
- Allow users to set a custom status/quote
- add the capability to sign into multiple servers in the mobile app
- Make emoji-only messages larger in chat history (like discord)
- Add a page in site statistics that shows the most active public channels over a selectable time period (i.e. total number of messages in selected period)
- Add real time markdown preview when composing messages, i.e. like discord does
- Add more administration options to the community edition, i.e. prevent non system admins/team admins from from creating public channels",10,user,TE,5.21.0
UX Feedback,Logout Issues,2020-06-07,"Fewer login issues, better notification",5,user,TE,5.21.0
Invalid,Invalid,2020-06-06,"Control \""C\"" and Control \""V\"" and other excel related features required to be in exact format if brought in here",10,system_admin,E20,5.22.0
Invalid,Invalid,2020-06-06,☠☠☠,7,user,E0,5.23.0
Reliability,Message and Network Reliability,2020-06-06,sometime message dissappear from the chat. Please fix this,9,user,E0,5.23.0
Praise,Praise,2020-06-06,good,10,user,TE,5.20.0
Invalid,Invalid,2020-06-06,the IT respond immedletly and he the show every steps,10,user,TE,5.22.0
Praise,Praise,2020-06-06,I love this town square; Thanks,2,team_admin,E0,5.21.0
UX Feedback,Performance,2020-06-06,client begins to use excessive cpu and ram. gets laggy and requires reset. mobile android app randomly scrolls up,8,user,TE,5.22.0
Invalid,Invalid,2020-06-05,메시지 도착시 알람이 잘 작동되지 않음. 잘 작동되어서 알림을 주었으면 함.,2,user,TE,5.22.0
Feature Requests,Channel Sidebar,2020-06-05,Add possibility to sort channels by activity time like many other chat tools do,10,user,TE,5.21.0
Praise,Praise,2020-06-05,"It is already perfect, thank you. :)",1,user,E0,5.21.0
Invalid,Invalid,2020-06-05,Who is it?,3,user,TE,5.22.0
UX Feedback,Miscellaneous UX,2020-06-05,Introduce some useful features that would differentiate Mattermost from Slack. Currently I do not see significant difference between Slack and Mattermost.,7,user,TE,5.22.0
Feature Requests,Custom Statuses,2020-06-05,I think adding new status possibilities would help a lot,8,user,E0,5.20.0
Invalid,Invalid,2020-06-05,-,5,user,E0,5.20.0
Invalid,Invalid,2020-06-05,"「BENESSE_CMS-1532 【39mag】引用パーツでテキストが改行されない」に関して、下記カテゴリでdev確認問題ありませんでした。

お金（記事詳細）
リビング（記事詳細）
家事（記事詳細）
ビューティー（記事詳細）
ライフスタイル（記事詳細）
お知らせ（記事詳細）
https://bc-39mag.dev.spiritek.co.jp/money/content/?id=26690→OK
https://bc-39mag.dev.spiritek.co.jp/living/content/?id=35121→OK
https://bc-39mag.dev.spiritek.co.jp/housework/content/?id=26618→OK
https://bc-39mag.dev.spiritek.co.jp/beauty/content/?id=35153→OK
https://bc-39mag.dev.spiritek.co.jp/lifestyle/content/?id=26488→OK
https://bc-39mag.dev.spiritek.co.jp/info/detail/?id=35619→OK",10,user,TE,5.22.0
Invalid,Invalid,2020-06-05,"연구소 김상욱입니다.
삼성테스트 장비에서 아래 명령어 실행해서 결과 좀 보내주세요
# ldd /somansa/ndlp/env/default/servicemodules/libWebkeeperInfoService.so",6,user,TE,5.20.0
Praise,Praise,2020-06-05,Cool; Nothing just working good for me,9,system_admin,E0,5.16.0
Invalid,Invalid,2020-06-05,more robot itegration,6,user,E0,5.22.0
Invalid,Invalid,2020-06-05,its good,10,user,E0,5.15.0
Invalid,Invalid,2020-06-05,,4,user,TE,5.17.0
Invalid,Invalid,2020-06-05,全文検索の実装,6,user,E10,5.19.0
Feature Requests,Audio/Video Calling,2020-06-05,Make it possible to screen share and video so that we do not have to have multiple programs for internal chat.,3,user,E10,5.16.0
UX Feedback,UI/UX Polish,2020-06-04,be as smooth as slack,7,user,E0,5.22.0
Invalid,Invalid,2020-06-04,que los hilos de las conversaciones no queden en la conversación sino que aparte. Y que uno pueda elegir que gif mandar,8,user,TE,5.21.0
Feature Requests,Voice Messages,2020-06-04,Add a voice chat option,6,user,TE,5.22.0
Invalid,Invalid,2020-06-04,:grinning:,10,user,E0,5.22.0
Praise,Praise,2020-06-04,Cool; The experience is already better for now :),0,user,E0,5.14.0
Feature Requests,Threading,2020-06-04,"That I'd actually receive notifications when someone writes to me. That I'd actually be able to use formating normally in the text, that I'd be able to normally scale windows and manage threads. Essentially everything that Slack already does quite well.",6,user,TE,5.22.0
Invalid,Invalid,2020-06-04,Do not ask for recommendations to early - let me get to know your performance first :-p,7,user,TE,5.20.0
Praise,Praise,2020-06-04,no change,8,user,TE,5.20.0
Praise,Praise,2020-06-04,no changes needed for now,10,user,TE,5.20.0
Feature Requests,Audio/Video Calling,2020-06-04,i think you shoul try to add or make it possible to conduct voice calls or video calls on matter most,9,user,TE,5.22.0
Feature Requests,Threading,2020-06-04,all the messages related to a thread should be grouped and not be displayed on public channel.,9,user,TE,5.20.0
UX Feedback,Onboarding,2020-06-04,"Easier way to login and add channels inside the app, without having to open the browser.",10,user,TE,5.20.0
Praise,Praise,2020-06-04,i like the whole experience,10,user,E0,5.15.0
Invalid,Invalid,2020-06-04,28mpod00,10,system_admin,E0,5.22.0
Praise,Praise,2020-06-04,"Mattermost, c'est bien !",8,user,E10,5.21.0
UX Feedback,Files/Attachments,2020-06-04,"better download management, ie. open downloaded image or it's folder location",0,user,TE,5.22.0
Praise,Praise,2020-06-04,Not Likely,10,user,TE,5.22.0
Invalid,Invalid,2020-06-04,:party_parrot:,7,user,TE,5.17.0
UX Feedback,Search UX,2020-06-04,pls improve search function,0,user,E0,5.22.0
Feature Requests,Emoji/GIF Options,2020-06-04,I need more Skins and easier customization,7,user,TE,5.21.0
Invalid,Invalid,2020-06-04,Please add me in Mswipe Town group,9,user,TE,5.20.0
Invalid,Invalid,2020-06-04,I have a good understanding on how to communicated on mattermost,9,user,TE,5.20.0
Invalid,Invalid,2020-06-03,If only the person you send message to can reply instantly,8,user,TE,5.21.0
Feature Requests,Threading,2020-06-03,Better thread management,9,user,E0,5.22.0
UX Feedback,Files/Attachments,2020-06-03,"When somebody send me a file, i want to open it without download",10,user,TE,5.20.0
Praise,Praise,2020-06-03,Nothing,0,user,E0,5.21.0
Invalid,Invalid,2020-06-03,neii,8,user,TE,5.21.0
Feature Requests,Audio/Video Calling,2020-06-03,including other meeting plugins,1,system_admin,TE,5.22.0
Reliability,Bugs,2020-06-03,Fix the bugs that I have reported 3 weeks ago,9,user,E20,5.21.0
Praise,Praise,2020-06-03,"It's pretty good, no complaints here",0,user,,5.14.0
Invalid,Invalid,2020-06-03,ㅁㄴㅇㄹ,10,user,TE,5.21.0
Invalid,Invalid,2020-06-03,"*/gif [ cry](https://media2.giphy.com/media/L95W4wv8nnb9K/giphy.gif?cid=7acfaf439d5742f8f9d1e9057d2fbc483ab351608a3e5cac&rid=giphy.gif)* 

![GIF for ' cry'](https://media2.giphy.com/media/L95W4wv8nnb9K/giphy.gif?cid=7acfaf439d5742f8f9d1e9057d2fbc483ab351608a3e5cac&rid=giphy.gif); */gif [ why](https://media0.giphy.com/media/11N0ycAEaS2AdW/giphy.gif?cid=7acfaf43d9f5fd78881dae9b7a2df288016aea9ca761e403&rid=giphy.gif)* 

![GIF for ' why'](https://media0.giphy.com/media/11N0ycAEaS2AdW/giphy.gif?cid=7acfaf43d9f5fd78881dae9b7a2df288016aea9ca761e403&rid=giphy.gif)",7,user,TE,5.21.0
Invalid,Invalid,2020-06-03,테스트?,8,user,E0,5.22.0
UX Feedback,Files/Attachments,2020-06-03,photos instead icons in dialog lists - will be cool,0,user,TE,5.21.0
Invalid,Invalid,2020-06-03,more games,6,user,E0,5.22.0
UX Feedback,UI/UX Polish,2020-06-03,Add some fun features like discord,8,user,,5.14.0
Invalid,Invalid,2020-06-03,more customizing,8,system_admin,E0,5.22.0
Feature Requests,Emoji/GIF Options,2020-06-03,better gif integration,5,user,E0,5.22.0
UX Feedback,Logout Issues,2020-06-03,You can make the mobile app better by not randomly signing users out and by allowing the messages to be previewed by the notifications! Thanks!,10,user,TE,5.22.0
Feature Requests,Audio/Video Calling,2020-06-03,screen sharing and calling function,7,user,TE,5.22.0
Invalid,Invalid,2020-06-03,I want to get zeplin notifications in Mattermost.,8,team_admin,E0,5.18.0
Feature Requests,Audio/Video Calling,2020-06-03,#BigBlueButton #Big Blue Button Meeting #ID1cnbNXDvfbqbBlyFjlVPEgIu4sE,6,user,TE,5.17.0
UX Feedback,Desktop UX,2020-06-03,"We have currently trouble with our server which sucks. Also the desktop client on linux does not follow the system theme and feels very \""heavy\""",5,user,TE,5.21.0
Invalid,Invalid,2020-06-03,Easy to operate and communicate others,5,user,TE,5.21.0
UX Feedback,Mobile UX,2020-06-03,"Functioning notifications, same usability in mobile app (iOS)",9,user,E0,5.19.0
Invalid,Invalid,2020-06-03,none,7,user,TE,5.21.0
Invalid,Invalid,2020-06-03,[test](http://gitlab.msi.co.jp:81/opt/messages/@surveybot ),7,user,TE,5.22.0
Reliability,Bugs,2020-06-03,please. make correct display read/unread message,2,user,TE,5.21.0
Invalid,Invalid,2020-06-03,stop asking for Surveys :),1,user,E0,5.16.0
Invalid,Invalid,2020-06-03,Meeting started at https://jit.pf.com.pk/CynicalParrotsScreamFlatly.; Meeting started at https://jit.pf.com.pk/FineAntsConsumeDaily.; Meeting started at https://jit.pf.com.pk/WonderfulBadgersSolveThoughtfully.,10,user,E0,5.17.0
Praise,Praise,2020-06-03,it's all ok,8,team_admin,E0,5.22.0
Feature Requests,Read Receipts,2020-06-03,Please provide delivered and read status of members in that channel,9,user,E0,5.19.0
UX Feedback,Update UX,2020-06-02,update it,10,user,TE,5.20.0
Invalid,Invalid,2020-06-02,everything is fine with me,7,system_admin,E0,5.16.0
Feature Requests,Audio/Video Calling,2020-06-02,Allow audio/video calls inside mattermost instead of having to use an external browser. Riot.im has embedded this nicely with jitsi. It would be nice if I could embed other services as well such as Codimd.org or wiki.js; Also for Gifs allow the choice between tenor and gfycat instead of only having gfycat,8,system_admin,TE,5.22.0
Feature Requests,Integrations,2020-06-02,The only thing that is missing for us are integrations such as Google Calendar,8,user,E0,5.22.0
UX Feedback,Files/Attachments,2020-06-02,file sharing is not available,0,user,,5.14.0
UX Feedback,Notifications UX,2020-06-02,"very difficult for know another people said to me.
i want big alert window when who called me",10,user,TE,5.20.0
Praise,Praise,2020-06-02,its perfect you dont have to change anything,8,user,TE,5.22.0
Invalid,Invalid,2020-06-02,"特に不満なく使えているので改善点は今のところ思いつきません。
シンプルで軽いのでその点を維持してほしいです。",0,user,E0,5.21.0
Invalid,Invalid,2020-06-02,Idk,7,user,E0,5.22.0
Invalid,Invalid,2020-06-02,Hasta el momento es una buena experiencia,8,system_admin,TE,5.18.0
Praise,Praise,2020-06-02,nice communication tools .. easy and flex,7,user,E0,5.22.0
UX Feedback,Files/Attachments,2020-06-02,It would be better if we have file sharing system,1,user,E0,5.21.0
Invalid,Invalid,2020-06-02,？,8,system_admin,TE,5.22.0
Feature Requests,Audio/Video Calling,2020-06-02,I miss a phone plugin to make quick telcalls directly from Mattermost.,7,user,E0,5.21.0
Invalid,Invalid,2020-06-02,"###hello
* Test; **Hello**; *Hello*",10,user,E0,5.22.0
Invalid,Invalid,2020-06-02,nop,10,user,TE,5.20.0
Invalid,Invalid,2020-06-02,for me everything is alright,0,user,E0,5.22.0
UX Feedback,Be Slack,2020-06-02,"Mattermost is just a worse version of slack, so I see no point in recommending it over the other.",10,user,E0,5.19.0
Invalid,Invalid,2020-06-02,You don't need to ;),10,team_admin,TE,5.21.0
Praise,Praise,2020-06-02,its good,4,user,E0,5.21.0
Feature Requests,Audio/Video Calling,2020-06-02,add voice chat,8,user,TE,5.21.0
Praise,Praise,2020-06-02,Nice,9,user,TE,5.20.0
Invalid,Invalid,2020-06-02,hey just to fix the internet so that we dnt struggle to hear the people thats all,8,user,E0,5.22.0
Feature Requests,Mark as Unread,2020-06-02,"add the possibility to mark messages unread, please :)",10,user,TE,5.22.0
Invalid,Invalid,2020-06-02,10,9,user,TE,5.21.0
Invalid,Invalid,2020-06-02,@,5,user,TE,5.13.0
UX Feedback,UI/UX Polish,2020-06-02,Design need to improve.,10,user,E0,5.21.0
Invalid,Invalid,2020-06-02,its good enough; welcome,5,user,TE,5.20.0
Invalid,Invalid,2020-06-02,"I don't know like I said I don't use it I think I've used once and I didn't get help but that's not the reason why I'm not using it I just don't use it cos I don't have a problem so far with my system, thanks",10,user,TE,5.20.0
Invalid,Invalid,2020-06-02,to have timelines,3,user,TE,5.20.0
Invalid,Invalid,2020-06-01,its good,8,user,TE,5.21.0
Invalid,Invalid,2020-06-01,oi,2,user,TE,5.21.0
Invalid,Invalid,2020-06-01,I feel like Mattermost is more professional but lacks maaaaany features already implemented into Telegram.,1,user,E0,5.21.0
UX Feedback,UI/UX Polish,2020-06-01,Improve user experience,4,user,TE,5.22.0
UX Feedback,Themes,2020-06-01,"design coulors in interface, more diverse themes",8,team_admin,E0,5.22.0
Feature Requests,Integrations,2020-06-01,calendar notifications which can be marked the dates for the release,9,user,E0,5.22.0
Invalid,Invalid,2020-06-01,It's working fine for me. No improvements required.,6,user,TE,5.18.0
Feature Requests,Audio/Video Calling,2020-06-01,Integrating calls and screen sharing would be awesome!,9,user,TE,5.13.0
UX Feedback,Notifications UX,2020-06-01,Notification preferences with time. Example only office hours notification should come.,2,user,E10,5.22.0
Invalid,Invalid,2020-06-01,3,9,user,E0,5.22.0
Feature Requests,Integrations,2020-06-01,Integrations,5,user,TE,5.21.0
Invalid,Invalid,2020-06-01,"I have just started to use this system, so I can't tell yet. ;) Ask me again in a year or two. :)",7,user,TE,5.21.0
Feature Requests,Emoji/GIF Options,2020-06-01,easier way to choose emoji,4,user,TE,5.21.0
Reliability,Notifications Reliability,2020-06-01,"Mattermost App is not working on my window.
Always redirects me to the browser window and 
Unable to get the notifications also.",9,user,TE,5.20.0
Invalid,Invalid,2020-06-01,so far you guys doing good as we are all looking up on to you,8,user,TE,5.21.0
Invalid,Invalid,2020-06-01,i have no idea,8,user,E0,5.22.0
Reliability,Bugs,2020-06-01,To avoid some technical issues,7,user,E0,5.22.0
Feature Requests,Threading,2020-06-01,"the view of a thread (when you reply to a person) is pretty poor, on the feed it appears with no order, it should be exactly as slack.",8,user,E0,5.16.0
Reliability,Notifications Reliability,2020-06-01,"I'm not able to receive any messages or notifications if i'm not using the app. I only get them when I'm using the app. Since I use this for work, it's vital that I get notifications whenever someone sends a message. Any thoughts on how I can fix this?",7,user,,5.14.0
Feature Requests,Channel Sidebar,2020-06-01,Please provide the prioritization of channels and direct msg list.,9,team_admin,E0,5.22.0
Feature Requests,Audio/Video Calling,2020-06-01,With video call option.,7,user,TE,5.22.0
Invalid,Invalid,2020-06-01,"WEB会議の時の画質に不満があります。
画面共有のEXCELの画像が滲んて見えにくです。
これは他のソフトではない事です。",2,user,E0,5.19.0
UX Feedback,Logout Issues,2020-05-31,Too many people getting randomly kicked out....password reset problems,4,user,E0,5.22.0
Invalid,Invalid,2020-05-31,TEST,8,system_admin,E0,5.22.0
Feature Requests,Integrations,2020-05-31,Integrations,9,user,TE,5.21.0
Feature Requests,Share Message,2020-05-31,There is no forward option for a received data,6,system_admin,E0,5.22.0
Invalid,Invalid,2020-05-31,BOTが対応するとちょっと驚く,10,user,E0,5.21.0
Invalid,Invalid,2020-05-31,good,5,user,E0,5.13.0
UX Feedback,Notifications UX,2020-05-31,"it was hard to log in to the app, and the notification defaults are not what I expected them to be",10,system_admin,E0,5.20.0
Invalid,Invalid,2020-05-31,Dd; Hello,9,user,TE,5.21.0
UX Feedback,Notifications UX,2020-05-30,"If the notification will come in every post or activities within this group,it would be better to never miss any communication.",8,user,TE,5.21.0
UX Feedback,UI/UX Polish,2020-05-30,User Interface looks very complicated. Please try to make it user friendly.,10,user,TE,5.21.0
Invalid,Invalid,2020-05-30,Nice,2,user,TE,5.22.0
Reliability,Notifications Reliability,2020-05-30,same as the last time: notifications... reliability....,0,user,E0,5.19.0
UX Feedback,Logout Issues,2020-05-30,Stop locking people out.,6,team_admin,TE,5.21.0
Invalid,Invalid,2020-05-30,Same as the last time! No progress there.,9,user,TE,5.21.0
Invalid,Invalid,2020-05-30,nothing to add,10,user,E0,5.22.0
Feature Requests,Emoji/GIF Options,2020-05-30,more emojis,10,user,TE,5.21.0
Praise,Praise,2020-05-30,That's already good thx,4,user,E0,5.22.0
Reliability,Notifications Reliability,2020-05-30,Better consistency with delivery important notifications to phone,9,user,TE,5.17.0
Invalid,Invalid,2020-05-29,![embedded image](https://i.giphy.com/media/eCqFYAVjjDksg/giphy.webp),5,user,E0,5.22.0
Feature Requests,Threading,2020-05-29,I strongly need thread UI like Slack provides.,8,user,,5.15.0
Feature Requests,Read Receipts,2020-05-29,"Yes, plz add information about reading messege by teammates",8,user,E0,5.17.0
Invalid,Invalid,2020-05-29,ciao; ping,8,user,E0,5.19.0
Invalid,Invalid,2020-05-29,"スレッド件名の記入ができるようになること
検索結果のソート順をカスタムできること 例、検索結果を時系列降順、昇順に切り替えれる",10,user,TE,5.20.0
Feature Requests,Voice Messages,2020-05-29,if we could ad voice notes,7,user,TE,5.16.0
Reliability,Message and Network Reliability,2020-05-29,It disconnects quite often.make it more reliable,5,user,TE,5.21.0
Invalid,Invalid,2020-05-29,Not yet explore. Once done will surely give proper feedback,0,user,TE,5.21.0
Invalid,Invalid,2020-05-29,i dont know,4,system_admin,TE,5.21.0
UX Feedback,UI/UX Polish,2020-05-29,Improve UX / UI.,10,user,TE,5.21.0
Invalid,Invalid,2020-05-29,Hi,10,user,E0,5.21.0
Invalid,Invalid,2020-05-29,Nothing,10,team_admin,TE,5.21.0
Feature Requests,Audio/Video Calling,2020-05-29,maybe some sound or video webRTC,10,system_admin,TE,5.13.0
UX Feedback,System Administration,2020-05-29,Allow finer permission settings for team edition,4,user,TE,5.21.0
Feature Requests,Threading,2020-05-29,Add threads for messages,9,system_admin,E0,5.22.0
UX Feedback,Documentation,2020-05-29,A good tutorial for the WebRTC feature for meetings within Mattermost would be nice. I haven't been able to figure it out as a Mattermost admin yet.,7,user,TE,5.13.0
UX Feedback,Group Message UX,2020-05-29,the way how to set up a meeting for a group of people and share it is not intuitive to me,8,user,E0,5.22.0
Invalid,Invalid,2020-05-29,no way,10,system_admin,TE,5.22.0
Invalid,Invalid,2020-05-29,Hire Paul Sanford to lead development of new user-facing functionality,7,system_admin,E0,5.22.0
Invalid,Invalid,2020-05-29,RAs,7,user,E0,5.18.0
UX Feedback,Translations,2020-05-29,"Translate messages into Japanese.
Help messages and \""today\"" \""yesterday\"" etc.
I always need date and time instead of \""today\"" \""yesterday\"".
I hate \""today\"" \""yesterday\"" notation etc.",5,user,E0,5.20.0
UX Feedback,Performance,2020-05-29,Faster experience,7,user,TE,5.21.0
Invalid,Invalid,2020-05-28,Please add me in Mswipe Town group,6,user,TE,5.21.0
Invalid,Invalid,2020-05-28,I'm new to this application right now,10,user,E0,5.21.0
Invalid,Invalid,2020-05-28,"I don't know the technical details, but I think it's a good system as it is.",7,user,E0,5.18.0
Feature Requests,Away Status,2020-05-28,allow to manually change the time when mattermost thinks I am away and it you should not be shown as away if you are still on your computer,10,system_admin,E0,5.22.0
Invalid,Invalid,2020-05-28,All good.,4,user,E10,5.21.0
Invalid,Invalid,2020-05-28,Use a more comfortable tool for online calls and conferences than BBB,10,user,TE,5.20.0
Invalid,Invalid,2020-05-28,sending out emails to private people outside the work office,10,user,TE,5.22.0
Invalid,Invalid,2020-05-28,cant do it baby,0,user,E0,5.22.0
Invalid,Invalid,2020-05-28,kill all humans,3,user,E0,5.21.0
Invalid,Invalid,2020-05-28,Fraud is happening,10,system_admin,E0,5.22.0
Invalid,Invalid,2020-05-28,*zz*,3,team_admin,E0,5.21.0
UX Feedback,Be Slack,2020-05-28,Learn from slack,10,user,TE,5.22.0
Invalid,Invalid,2020-05-28,better,5,team_admin,E0,5.19.0
UX Feedback,Miscellaneous UX,2020-05-28,"please improve mattermost autoformat!!! 

whenever i paste smth that involves numbered list and dotted list, things go very awry even if its smth i copied from a notepad!; the terrible auto-formatting wastes a lot of time!",10,user,TE,5.21.0
Invalid,Invalid,2020-05-28,Great moments to work mswipe,5,user,TE,5.13.0
Reliability,Message and Network Reliability,2020-05-28,when the network is not good the messages do not pass!,10,user,E20,5.21.0
Invalid,Invalid,2020-05-28,Yo,7,user,E0,5.18.0
Invalid,Invalid,2020-05-28,I'm still newbie... so it's feel unusual for using this channel,7,user,E0,5.21.0
Invalid,Invalid,2020-05-28,With new features,6,user,TE,5.21.0
Reliability,Notifications Reliability,2020-05-28,I think that the app could be more fluid and I'm experiencing some difficulties on notifications. Some is missing. I'm using at Windows. Tks!,10,user,TE,5.21.0
Invalid,Invalid,2020-05-28,Nice,9,team_admin,TE,5.21.0
Reliability,Bugs,2020-05-27,Message got deleted when adding persons in the beginning of the message afterwards,10,user,TE,5.21.0
Invalid,Invalid,2020-05-27,Its good,10,user,TE,5.21.0
Invalid,Invalid,2020-05-27,Yes,1,user,TE,5.13.0
Reliability,Notifications Reliability,2020-05-27,I am not getting notifications in my mobile device,7,user,E0,5.21.0
Feature Requests,Group Mentions,2020-05-27,let me tag people with similar roles at once,5,user,E0,5.16.0
Invalid,Invalid,2020-05-27,DOD approval,9,user,TE,5.21.0
Praise,Praise,2020-05-27,Very nice app and user interface,10,user,TE,5.20.0
Praise,Praise,2020-05-27,i am very happy with matter most it is very helpfull,6,user,E0,5.21.0
UX Feedback,UI/UX Polish,2020-05-27,more smooth interface,10,user,E0,5.21.0
Reliability,Message and Network Reliability,2020-05-27,Read and Delivery time of messages,10,user,TE,5.21.0
UX Feedback,Performance,2020-05-27,Fastest sending ; Good communication,8,user,E0,5.18.0
Invalid,Invalid,2020-05-27,shut up,7,user,TE,5.13.0
Invalid,Invalid,2020-05-27,make the function *transfert*,7,user,E0,5.16.0
Feature Requests,Audio/Video Calling,2020-05-27,would be great to have an integrated solution for audio/video calls instead of the zoom integration,9,user,E0,5.21.0
Invalid,Invalid,2020-05-27,This is perfect,10,system_admin,E0,5.22.0
Reliability,Mobile Stability,2020-05-27,"Improving the mobile applications and their \""refreshing\""",2,user,E20,5.21.0
UX Feedback,Files/Attachments,2020-05-27,Your app has a delay with messages and you have to refresh to view the latest every time. You can't view videos in messages without downloading. You cannot copy an image (have to download to simply share). You cannot forward an image/video.,7,user,E0,5.16.0
Invalid,Invalid,2020-05-27,I need feature manage my task,8,system_admin,TE,5.13.0
Reliability,Message and Network Reliability,2020-05-27,"some features UX like reception confirmation
better functionning in low quality mobile networks",10,user,TE,5.21.0
Invalid,Invalid,2020-05-27,@radheshyam.choudhari ; Will confirm after using the app,1,user,,5.14.0
UX Feedback,Messaging UX,2020-05-27,Plz let me use ~ as it is. don't want to tag sb when i'm saying it's good,9,user,TE,5.22.0
Feature Requests,Audio/Video Calling,2020-05-27,There is no direct calling system here .It would be helpful if I can call directly from there.,5,user,TE,5.21.0
Reliability,Bugs,2020-05-27,You need to make it more stable. It might be worth thinking about UI to make it more pleasing to the eye and to deal with the bug that keeps it from being notified periodically.,8,user,E0,5.18.0
Invalid,Invalid,2020-05-27,Very nice,8,user,E0,5.19.0
Invalid,Invalid,2020-05-27,Free hookers and cocaine,10,user,TE,5.21.0
Invalid,Invalid,2020-05-27,No its good,6,user,E10,5.21.0
Feature Requests,Audio/Video Calling,2020-05-26,calls and sharing features are measing,10,user,TE,5.21.0
Invalid,Invalid,2020-05-26,I am feeling well to use this platform,5,user,E0,5.21.0
UX Feedback,Logout Issues,2020-05-26,Stop quitting the app on smartphone and asking me to relog so often. I keep losing notifications because I’m I logged. Be easier to log in.,8,system_admin,E0,5.21.0
Feature Requests,Audio/Video Calling,2020-05-26,Add Audio & video call options with Video chit chat room facility.,9,user,E0,5.22.0
